SalesPrice,Cost
4800,1500
300,168
3500,1700
2000,1049.02
3900,2196.31
1800,600
3500,2592
1560,1095
3600,129.9936
704.13,450
1957.55,1387
1911,1140.11
977.55,550
1924,1026
3291.75,1738.71
1378,1110.72
780,186.09
7040,3285.9
170100,45188
20100,15172
14910,11183
26811,13024.15
1490,771.39
720,323.96
14500,7036.94
13500,4323.22
3090,2228
19000,9316.01
18000,8280.9
33000,27500
6500,3000
3500,2191.71
3500,2761.8
6800,2800
6660,3139.67
18230,8596.29
2520,1296
1660,855
2020,955.42
1130,762.71
8500,5250
1420,658.71
5950,3060
2280,1170
1350,693
1700,737.4
1830,796.9
41500,35355.89
2900,1576.02
1300,500
2000,892.33
1800,872.2
2950,2200
1820,985.04
850,465.47
22131.15,232951.68
1000,425
1650,920
1650,850
1200,500
800,300
3500,586
700,330
4652750,3899788
365000,165112.26
2275,1170
4120,1791.7
2080,1071
3330,1710
3090,2228
1100,425
37000,30220
8000,7000
3500,2000
7500,5593
2000,676.09
3500,2320
3500,2120
3500,2120
2300,1156
1350,792
3000,1489.93
14000,7258.12
5000,2951
4600,3000
3800,1765.47
4500,1811.45
24000,10366.13
18172,278418.673
18172.01,300062.6828
16500,6210.68
3000,739
7000,4378
7900,5500
3500,1820.8
2800,1347.6
2500,1292.4
11500,5835.6
30000,26415
1200,372
18000,7500
12900,8000
28000,20160
8500,5300
2000,1155.94
1150,615.98
4050,2112.38
2030,1092.51
11950,3500
25433.18,12000
2860,1710
5500,3223.01
21000,11545.11
20000,23858.7993
8673.76,16043.0088
18900,6757.02
25000,20600
300,120
2040.91,2040.91
2000,632.46
2435,1251
1260,647.9
39000,14823.31
1154.25,1154.25
191,191.33
545,545.22
3900,3900
350,180
175,58
175,58
3115,1602
8280,4211.3
870,379.8
4500,3724.25
487.55,228.15
170,97.83
250,114.59
18500,8096.55
1490,804.28
1620,666.01
5460,3936.5
5000,3420
4550,3192
8450,6055
5600,4104
7500,1720
5000,4174
3000,1305
14335,34251.25
5520,8804.4
5610,6507.6
3080,2928.2
3770,2135
2630,1350
2709,1612.5
15500,8155.96
13500,5693.12
14000,8843.96
7200,4204.43
11500,8496.71
4200,3650
4800,2786.04
1925,1500
1925,1627.5
5360,3292.5
3800,2454.06
1800,1000
2500,1295
4800,2070.23
2000,826.33
2200,878.09
13900,5693.12
1350,882.11
3700,2740.44
12550,6722.56
1800,1610
7000,5130
4700,2550.97
5000,3139.67
14500,9255.64
45000,32454.6
24000,11943.71
10000,9552
6200,2539.1
5500,2347.08
4160,1860.08
4500,3852
1950,969
12500,6798.66
3200,1585
4200,1805
8310,3881.12
2000,600
1385,711
430,202.11
3696,2200
2552,2008.75
45000,28325
13000,7227.78
1080,682
15000,10078
4500,2290
2300,1156
1500,800
2500,1542.28
11000,7050
12000,3248
3500,3060
450,188.43
3780,1841.89
1080,526.25
1080,526.25
1450,621.07
2800,1713.65
1100,100
9900,4055
35000,10200
41000,17005
4730,2436.52
3920,2065.09
10650,3980.08
10350,4600
1500,695
340,182
200,150
150,55
1750,1300
128000,83481
1175,601
1250,653
1250,766
60000,51495
120000,61579.73
450,271.45
8900,110715.1056
1500,704.43
1600,724.58
800,550
1500,792
12000,8525
10000,8765
6600,3090.85
138,125
158,143.75
288,262.5
372,337.5
310,281.25
3000,3500
575,304
1250,2000
13656.29,18266.017
12454.39,15612.52
18755.45,26411.88
4150,2405
2970,1625.81
9000,4604.72
1800,958.13
7300,2261.35
3200,1661
975,550
300,172.81
300,155.27
2677.5,6693.75
1058.75,3850
1058.75,3850
677.6,2821.9
646.8,3135
309.38,281.25
2908.13,2733.75
2908.13,2643.75
1072.5,2925
330,300
330,600
330,300
330,300
330,600
3093.75,5625
1935,1612.5
1935,3225
3140.5,2855
2770.63,2518.75
2626.25,2387.5
6500,2810
3900,2828
1400,1004
2700,1987.67
8800,3919.15
5130,2681.67
15000,10000
20000,15780
1600,985.04
5000,2587.2
4100,1929.48
5415,2919
11400,10078
5415,2680.14
3822,2247.1
2082.5,918.01
22344,8525.76
977.55,855.82
830.55,430.85
928.55,457.49
4157.4,2700
13097.5,7656.18
1712.55,1100
1137.15,425
28000,21200
4420,1280.41
9750,5892.27
2349.55,1773.68
2860,2236.37
1712.55,1422.98
1957.55,1400
634.55,100
6797.25,2748.53
17043,9230.72
977.55,826
7125,2975.71
4420,6125
1225,717.53
4157.4,3042.87
4677.4,2101.94
3250,1382.06
3640,1817.69
4489,2435
4557.15,1294.93
1308.15,423.33
1137.15,410
1137.15,410
1308.15,410
1137.15,450
11400,5900
1023.15,410
